"CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/"
"Gross Domestic Product (GDP): All industry total (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"17860","Columbia, MO (Metropolitan Statistical Area)",11119352
"17900","Columbia, SC (Metropolitan Statistical Area)",44358414
"17980","Columbus, GA-AL (Metropolitan Statistical Area)",15459426
"18020","Columbus, IN (Metropolitan Statistical Area)",6639828
"18140","Columbus, OH (Metropolitan Statistical Area)",137259944
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",22320491
"18700","Corvallis, OR (Metropolitan Statistical Area)",4751657
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",16677447
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",3905447
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",534807251
"19140","Dalton, GA (Metropolitan Statistical Area)",7095087
"19180","Danville, IL (Metropolitan Statistical Area)",3330069
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",8484931
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",22113191
"19430","Dayton-Kettering, OH (Metropolitan Statistical Area)",45157246
"19460","Decatur, AL (Metropolitan Statistical Area)",6527140
"19500","Decatur, IL (Metropolitan Statistical Area)",6660252
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",22808084
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",223145760
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",56234885
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",254533015
"20020","Dothan, AL (Metropolitan Statistical Area)",6678286
"20100","Dover, DE (Metropolitan Statistical Area)",8973785
"20220","Dubuque, IA (Metropolitan Statistical Area)",6816868
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",14202288
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",55041853
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",7771702
"20740","Eau Claire, WI (Metropolitan Statistical Area)",9582473
"20940","El Centro, CA (Metropolitan Statistical Area)",8566860
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",6223848
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",16108000
"21300","Elmira, NY (Metropolitan Statistical Area)",3869163
"21340","El Paso, TX (Metropolitan Statistical Area)",34114414
"21420","Enid, OK (Metropolitan Statistical Area)",2586642
"21500","Erie, PA (Metropolitan Statistical Area)",11784140
"21660","Eugene-Springfield, OR (Metropolitan Statistical Area)",16578944
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",18946090
"21820","Fairbanks, AK (Metropolitan Statistical Area)",5950242
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",15729686
"22140","Farmington, NM (Metropolitan Statistical Area)",5327081
"22180","Fayetteville, NC (Metropolitan Statistical Area)",22304899
"22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",28674482
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",7548517
"22420","Flint, MI (Metropolitan Statistical Area)",16121115
"22500","Florence, SC (Metropolitan Statistical Area)",10055859
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",5406458
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",5317086
"22660","Fort Collins, CO (Metropolitan Statistical Area)",21593417
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",9961729
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",23207491
"23420","Fresno, CA (Metropolitan Statistical Area)",45932182
"23460","Gadsden, AL (Metropolitan Statistical Area)",3012955
"23540","Gainesville, FL (Metropolitan Statistical Area)",16479968
"23580","Gainesville, GA (Metropolitan Statistical Area)",11879587
"23900","Gettysburg, PA (Metropolitan Statistical Area)",3968843
"24020","Glens Falls, NY (Metropolitan Statistical Area)",6791778
"24140","Goldsboro, NC (Metropolitan Statistical Area)",5090029
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",5813472
"24260","Grand Island, NE (Metropolitan Statistical Area)",4290790
"24300","Grand Junction, CO (Metropolitan Statistical Area)",6776747
"24340","Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",61371686
"24420","Grants Pass, OR (Metropolitan Statistical Area)",3048409
"24500","Great Falls, MT (Metropolitan Statistical Area)",3770219
"24540","Greeley, CO (Metropolitan Statistical Area) *",16710143
"24580","Green Bay, WI (Metropolitan Statistical Area)",20484193
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",42033244
"24780","Greenville, NC (Metropolitan Statistical Area)",9674795
"24860","Greenville-Anderson, SC (Metropolitan Statistical Area)",47585915
"25060","Gulfport-Biloxi, MS (Metropolitan Statistical Area)",17814654
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",11764929
"25220","Hammond, LA (Metropolitan Statistical Area)",4494000
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",6857784
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",40262653
"25500","Harrisonburg, VA (Metropolitan Statistical Area) *",8355784
"25540","Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",99311154
